======================================================================
ASPEN PLUS DEEP BLOCK INSPECTION
======================================================================
Loading: C:\Program Files\AspenTech\Aspen Plus V14.0\GUI\Examples\Hydrogen\Alkaline electrolysis\Industrial Scale Alkaline Electrolyzer\Industrial Scale Alkaline Electrolyzer.bkp
Inspecting Block: B1
  B1 | Path: \B1 | Value: V-DRUM1
      BAL_MOLR_TFL | Path: \B1\Output\BAL_MOLR_TFL | Value: 0.0
      BAL_NETSTRCO2E | Path: \B1\Output\BAL_NETSTRCO2E | Value: 0.0
      BAL_NNCG_FLW | Path: \B1\Output\BAL_NNCG_FLW | Value: None
      BAL_NNCI_FLW | Path: \B1\Output\BAL_NNCI_FLW | Value: None
      BAL_NNCO_FLW | Path: \B1\Output\BAL_NNCO_FLW | Value: None
      BAL_NNCR_FLW | Path: \B1\Output\BAL_NNCR_FLW | Value: None
      BAL_PRODCO2E | Path: \B1\Output\BAL_PRODCO2E | Value: 0.0
      BAL_TOTCO2E | Path: \B1\Output\BAL_TOTCO2E | Value: 0.0
      BAL_UTILCO2E | Path: \B1\Output\BAL_UTILCO2E | Value: 0.0
      BLKMSG | Path: \B1\Output\BLKMSG | Value: None
      BLKSTAT | Path: \B1\Output\BLKSTAT | Value: 0
      B_K | Path: \B1\Output\B_K | Value: 1
        KOH | Path: \B1\Output\B_K\KOH | Value: 2.43481885e-96
        H2 | Path: \B1\Output\B_K\H2 | Value: 91752.4267
        O2 | Path: \B1\Output\B_K\O2 | Value: 98356.9892
        H2O | Path: \B1\Output\B_K\H2O | Value: 0.0477021584
      B_PRES | Path: \B1\Output\B_PRES | Value: 676356.219
      B_PRES_IN | Path: \B1\Output\B_PRES_IN | Value: 0.0
      B_TEMP | Path: \B1\Output\B_TEMP | Value: 348.538382
      B_TEMP_IN | Path: \B1\Output\B_TEMP_IN | Value: None
      B_VFRAC | Path: \B1\Output\B_VFRAC | Value: 0.00393471385
      B_VFRAC_IN | Path: \B1\Output\B_VFRAC_IN | Value: None
      CMF_CATT | Path: \B1\Output\CMF_CATT | Value: 0
      CMF_HMX | Path: \B1\Output\CMF_HMX | Value: 0
      CMF_LFRAC | Path: \B1\Output\CMF_LFRAC | Value: 0
      CMF_MAFL | Path: \B1\Output\CMF_MAFL | Value: 0
      CMF_MAMX | Path: \B1\Output\CMF_MAMX | Value: 0
      CMF_MOFL | Path: \B1\Output\CMF_MOFL | Value: 0
      CMF_MOMX | Path: \B1\Output\CMF_MOMX | Value: 0
      CMF_MWMX | Path: \B1\Output\CMF_MWMX | Value: 0
      CMF_NBOPST | Path: \B1\Output\CMF_NBOPST | Value: 0
      CMF_PRES | Path: \B1\Output\CMF_PRES | Value: 0
      CMF_PTARG | Path: \B1\Output\CMF_PTARG | Value: 0
      CMF_QTARG | Path: \B1\Output\CMF_QTARG | Value: 0
      CMF_RHOMX | Path: \B1\Output\CMF_RHOMX | Value: 0
      CMF_SATT | Path: \B1\Output\CMF_SATT | Value: 0
      CMF_SMX | Path: \B1\Output\CMF_SMX | Value: 0
      CMF_TEMP | Path: \B1\Output\CMF_TEMP | Value: 0
      CMF_TTARG | Path: \B1\Output\CMF_TTARG | Value: 0
      CMF_VFRAC | Path: \B1\Output\CMF_VFRAC | Value: 0
      CMF_VTARG | Path: \B1\Output\CMF_VTARG | Value: 0
      COMP_ATTR | Path: \B1\Output\COMP_ATTR | Value: 0
      DESCRIPTION | Path: \B1\Output\DESCRIPTION | Value: None
      DUTY_IN | Path: \B1\Output\DUTY_IN | Value: 0.0
      DUTY_OUT | Path: \B1\Output\DUTY_OUT | Value: 0
      F | Path: \B1\Output\F | Value: 1
        KOH | Path: \B1\Output\F\KOH | Value: 0.0912232973
        H2 | Path: \B1\Output\F\H2 | Value: 6.15043494e-06
        O2 | Path: \B1\Output\F\O2 | Value: 0.00376774997
        H2O | Path: \B1\Output\F\H2O | Value: 0.905002802
      F2 | Path: \B1\Output\F2 | Value: 0
      GUID | Path: \B1\Output\GUID | Value: None
      K1 | Path: \B1\Output\K1 | Value: 0
      K2 | Path: \B1\Output\K2 | Value: 0
      KODE | Path: \B1\Output\KODE | Value: 10
      LENTRN_IN | Path: \B1\Output\LENTRN_IN | Value: 0.0
      LIQ_RATIO | Path: \B1\Output\LIQ_RATIO | Value: 1.0
      MVFRAC | Path: \B1\Output\MVFRAC | Value: 0.00572530768
      PDROP | Path: \B1\Output\PDROP | Value: 0.0
      PER_ERROR | Path: \B1\Output\PER_ERROR | Value: 0
      PRES_OUT | Path: \B1\Output\PRES_OUT | Value: 0
      PROPSTAT | Path: \B1\Output\PROPSTAT | Value: 0
